Kanton;BFS Code;Gemeindename;PLZ;Ortsbezeichnung;Orts Bez Post;Jahr
GE;6612;Chêne-Bougeries;1231;Conches;Conches;2014
VD;5554;Concise;1426;Concise;Concise;2014
GE;6618;Confignon;1232;Confignon;Confignon;2014
VD;5464;Vully-les-Lacs;1587;Constantine;Constantine;2014
GR;3881;Conters im Prättigau;7241;Conters;Conters im Prättigau;2014
VS;6023;Conthey;1964;Conthey;Conthey;2014
TI;5398;Gambarogno;6594;Contone;Contone;2014
TI;5131;Tenero-Contra;6646;Contra;Contra;2014
VD;5712;Coppet;1296;Coppet;Coppet;2014
JU;6705;Corban;2826;Corban;Corban;2014
VD;5404;Corbeyrier;1856;Corbeyrier;Corbeyrier;2014
FR;2129;Corbières;1647;Corbières;Corbières;2014
BE;687;Corcelles (BE);2747;Corcelles BE;Corcelles;2014
NE;6407;Corcelles-Cormondrèche;2035;Corcelles NE;Corcelles;2014
VD;5751;Corcelles-sur-Chavornay;1374;Corcelles-Chavorn;Corcelles-sur-Chavornay;2014
VD;5785;Corcelles-le-Jorat;1082;Corcelles-le-Jorat;Corcelles-le-Jorat;2014
VD;5816;Corcelles-près-Payerne;1562;Corcelles-Payerne;Corcelles-près-Payerne;2014
FR;2262;Gurmels;1792;Cordast;Cordast;2014
BE;431;Corgémont;2606;Corgémont;Corgémont;2014
VS;6243;Montana;3960;Corin-de-la-Crête;Corin-de-la-Crête;2014
TI;5102;Corippo;6631;Corippo;Corippo;2014
FR;2272;Misery-Courtion;1721;Cormérod;Cormérod;2014
NE;6407;Corcelles-Cormondrèche;2036;Cormondrèche;Cormondrèche;2014
BE;432;Cormoret;2612;Cormoret;Cormoret;2014
NE;6451;Cornaux;2087;Cornaux NE;Cornaux;2014
JU;6782;Cornol;2952;Cornol;Cornol;2014
FR;2184;Corpataux-Magnedens;1727;Corpataux-Magneden;Corpataux;2014
VD;5693;Montanaire;1410;Correvon;Correvon;2014
VD;5883;Corseaux;1802;Corseaux;Corseaux;2014
FR;2185;Corserey;1747;Corserey;Corserey;2014
GE;6619;Corsier (GE);1246;Corsier GE;Corsier;2014
VD;5884;Corsier-sur-Vevey;1804;Corsier-sur-Vevey;Corsier-sur-Vevey;2014
NE;6408;Cortaillod;2016;Cortaillod;Cortaillod;2014
BE;433;Cortébert;2607;Cortébert;Cortébert;2014
TI;5249;Castel San Pietro;6873;Corteglia;Corteglia;2014
TI;5048;Acquarossa;6722;Corzoneso;Cumiasca;2014
FR;2186;Cottens (FR);1741;Cottens FR;Cottens;2014
VD;5478;Cottens (VD);1116;Cottens VD;Cottens;2014
JU;6709;Courroux;2823;Courcelon;Courcelon;2014
JU;6706;Courchapoix;2825;Courchapoix;Courchapoix;2014
JU;6783;Courchavon;2922;Courchavon;Courchavon;2014
JU;6729;Haute-Sorne;2853;Courfaivre;Courfaivre;2014
JU;6784;Courgenay;2950;Courgenay;Courgenay;2014
FR;2250;Courgevaux;1796;Courgevaux;Courgevaux;2014
FR;2251;Courlevon;1795;Courlevon;Courlevon;2014
JU;6708;Courrendlin;2830;Courrendlin;Courrendlin;2014
JU;6709;Courroux;2822;Courroux;Courroux;2014
BE;690;Court;2738;Court;Court;2014
FR;2254;Courtepin;1791;Courtaman;Courtaman;2014
JU;6785;Courtedoux;2905;Courtedoux;Courtedoux;2014
BE;434;Courtelary;2608;Courtelary;Courtelary;2014
JU;6807;Basse-Allaine;2923;Courtemaîche;Courtemaîche;2014
FR;2254;Courtepin;1784;Courtepin;Courtepin;2014
JU;6710;Courtételle;2852;Courtételle;Courtételle;2014
FR;2029;Montagny (FR);1774;Cousset;Cousset;2014
NE;6512;Val-de-Travers;2108;Couvet;Plancemont;2014
TI;5136;Onsernone;6611;Crana;Crana;2014
VD;5713;Crans-près-Céligny;1299;Crans-près-Céligny;Crans-près-Céligny;2014
VD;5714;Crassier;1263;Crassier;Crassier;2014
VD;5668;Cremin;1526;Cremin;Cremin;2014
BE;691;Crémines;2746;Crémines;Crémines;2014
TI;5283;Cresciano;6705;Cresciano;Cresciano;2014
FR;2257;Cressier (FR);1785;Cressier FR;Cressier;2014
NE;6452;Cressier (NE);2088;Cressier NE;Cressier;2014
VS;6081;Les Agettes;1992;Crête-à-l'Oeil;Crêt-à-l'Oeil;2014
VS;6036;Vollèges;1941;Cries (Vollèges);Cries;2014
VD;5583;Crissier;1023;Crissier;Crissier;2014
VD;5910;Cronay;1406;Cronay;Cronay;2014
VD;5752;Croy;1322;Croy;Croy;2014
GR;3763;Sent;7554;Crusch;Crusch;2014
VD;5911;Cuarny;1404;Cuarny;Cuarny;2014
VD;5456;Cudrefin;1588;Cudrefin;Cudrefin;2014
TI;5138;Cugnasco-Gerra;6516;Cugnasco;Cugnasco;2014
FR;2011;Cugy (FR);1482;Cugy FR;Cugy;2014
