Kanton;BFS Code;Gemeindename;PLZ;Ortsbezeichnung;Orts Bez Post;Jahr
SG;3378;Neckertal;9114;Hoffeld;Hoffeld;2014
LU;1135;Luthern;6154;Hofstatt;Hofstatt;2014
BE;580;Hofstetten bei Brienz;3858;Hofstetten BE;Hofstetten bei Brienz;2014
SO;2476;Hofstetten-Flüh;4114;Hofstetten SO;Hofstetten;2014
ZH;222;Hofstetten (ZH);8354;Hofstetten ZH;Huggenberg;2014
LU;1032;Hohenrain;6276;Hohenrain;Ebersol;2014
VS;6204;Steg-Hohtenn;3949;Hohtenn;Hohtenn;2014
AG;4199;Holderbank (AG);5113;Holderbank AG;Holderbank;2014
SO;2425;Holderbank (SO);4718;Holderbank SO;Holderbank;2014
BL;2886;Hölstein;4434;Hölstein;Hölstein;2014
AG;4136;Holziken;5043;Holziken;Holziken;2014
BE;931;Homberg;3622;Homberg b. Thun;Homberg;2014
ZH;153;Hombrechtikon;8634;Hombrechtikon;Hombrechtikon;2014
TG;4816;Homburg;8508;Homburg;Unterhörstetten;2014
BE;768;Spiez;3702;Hondrich;Hondrich;2014
BE;762;Diemtigen;3755;Horboden;Horboden;2014
ZH;133;Horgen;8810;Horgen;Horgen;2014
ZH;133;Horgen;8815;Horgenberg;Horgenberg;2014
TG;4816;Homburg;8507;Hörhausen;Hörhausen;2014
ZH;60;Höri;8181;Höri;Oberhöri;2014
TG;4421;Horn;9326;Horn;Horn;2014
AG;4167;Hornussen;5075;Hornussen;Hornussen;2014
SO;2523;Horriwil;4557;Horriwil;Horriwil;2014
LU;1058;Horw;6048;Horw;Horw;2014
TG;4791;Wuppenau;9515;Hosenruck;Hosenruck;2014
UR;1210;Hospental;6493;Hospental;Hospental;2014
AG;4184;Mettauertal;5277;Hottwil;Hottwil;2014
SO;2548;Hubersdorf;4535;Hubersdorf;Hubersdorf;2014
TG;4666;Kemmental;8565;Hugelshofen;Hugelshofen;2014
ZH;32;Humlikon;8457;Humlikon;Humlikon;2014
AR;3002;Hundwil;9064;Hundwil;Hundwil;2014
ZG;1703;Hünenberg;6331;Hünenberg;Hünenberg;2014
ZG;1703;Hünenberg;6333;Hünenberg See;Kemmatten;2014
BE;942;Thun;3626;Hünibach;Hünibach;2014
ZH;61;Hüntwangen;8194;Hüntwangen;Hüntwangen;2014
AG;4200;Hunzenschwil;5502;Hunzenschwil;Hunzenschwil;2014
SZ;1322;Freienbach;8640;Hurden;Hurden;2014
LU;1150;Zell (LU);6152;Hüswil;Hüswil;2014
ZH;134;Hütten;8825;Hütten;Hütten;2014
ZH;87;Hüttikon;8115;Hüttikon;Hüttikon;2014
BE;954;Huttwil;4950;Huttwil;Huttwil;2014
TG;4821;Hüttwilen;8536;Hüttwilen;Hüttwilen;2014
SZ;1372;Schwyz;6438;Ibach;Oberschönenbuch;2014
SO;2455;Lüterkofen-Ichertswil;4571;Ichertswil;Ichertswil;2014
VS;6239;Icogne;1977;Icogne;Icogne;2014
BE;541;Iffwil;3305;Iffwil;Iffwil;2014
GR;3955;Landquart;7206;Igis;Igis;2014
GR;3619;Ilanz/Glion;7130;Ilanz;Ilanz;2014
SZ;1363;Illgau;6434;Illgau;Illgau;2014
FR;2138;Jaun;1656;Im Fang;Im Fang;2014
SZ;1331;Küssnacht (SZ);6405;Immensee;Immensee;2014
TI;5398;Gambarogno;6571;Indemini;Indemini;2014
VS;6109;Inden;3953;Inden;Inden;2014
BE;980;Inkwil;3375;Inkwil;Inkwil;2014
BE;360;Wohlen bei Bern;3044;Innerberg;Innerberg;2014
GR;3713;Ferrera;7445;Innerferrera;Innerferrera;2014
SZ;1343;Innerthal;8858;Innerthal;Innerthal;2014
BE;784;Innertkirchen;3862;Innertkirchen;Innertkirchen;2014
BE;496;Ins;3232;Ins;Ins;2014
BE;581;Interlaken;3800;Interlaken;Interlaken;2014
TI;5397;Centovalli;6655;Intragna;Intragna;2014
UR;1209;Gurtnellen;6476;Intschi;Intschi;2014
LU;1033;Inwil;6034;Inwil;Pfaffwil;2014
BE;739;Ipsach;2563;Ipsach;Ipsach;2014
TI;5284;Iragna;6707;Iragna;Iragna;2014
BE;582;Iseltwald;3807;Iseltwald;Iseltwald;2014
BE;584;Lauterbrunnen;3822;Isenfluh;Isenfluh;2014
UR;1211;Isenthal;6461;Isenthal;Isenthal;2014
TI;5151;Bioggio;6993;Iseo;Iseo;2014
TG;4571;Gachnang;8546;Islikon;Islikon;2014
TI;5009;Isone;6810;Isone;Isone;2014
BL;2849;Itingen;4452;Itingen;Itingen;2014
AG;4169;Kaisten;5083;Ittenthal;Ittenthal;2014
BE;362;Ittigen;3063;Ittigen;Ittigen;2014
BE;868;Jaberg;3629;Jaberg;Jaberg;2014
GR;3863;Jenaz;7233;Jenaz;Jenaz;2014
GR;3952;Jenins;7307;Jenins;Jenins;2014
BE;738;Jens;2565;Jens;Jens;2014
FR;2264;Jeuss;1793;Jeuss;Jeuss;2014
SG;3340;Rapperswil-Jona;8645;Jona;Jona;2014
AG;4071;Jonen;8916;Jonen;Jonen;2014
VD;5885;Jongny;1805;Jongny;Jongny;2014
SG;3405;Jonschwil;9243;Jonschwil;Jonschwil;2014
VD;5585;Jouxtens-Mézery;1008;Jouxtens-Mézery;Jouxtens;2014
GR;3681;Avers;7448;Juf;Juf;2014
BE;584;Lauterbrunnen;3801;Jungfraujoch;Jungfraujoch;2014
VD;5754;Juriens;1326;Juriens;Juriens;2014
GE;6626;Jussy;1254;Jussy;Jussy;2014
OW;1407;Sarnen;6056;Kägiswil;Kägiswil;2014
AG;4252;Kaiseraugst;4303;Kaiseraugst;Kaiseraugst;2014
AG;4308;Kaiserstuhl;5466;Kaiserstuhl AG;Kaiserstuhl;2014
AG;4169;Kaisten;5082;Kaisten;Kaisten;2014
AG;4233;Kallern;5625;Kallern;Kallern;2014
BE;304;Kallnach;3283;Kallnach;Kallnach;2014
BE;407;Heimiswil;3413;Kaltacker;Kaltacker;2014
LU;1091;Mauensee;6212;Kaltbach;Kaltbach;2014
SG;3313;Kaltbrunn;8722;Kaltbrunn;Kaltbrunn;2014
BE;564;Kandergrund;3716;Kandergrund;Kandergrund;2014
BE;565;Kandersteg;3718;Kandersteg;Kandersteg;2014
BL;2850;Känerkinden;4447;Känerkinden;Känerkinden;2014
SO;2580;Kappel (SO);4616;Kappel SO;Kappel;2014
BE;305;Kappelen;3273;Kappelen;Kappelen;2014
LU;1058;Horw;6047;Kastanienbaum;Kastanienbaum;2014
BE;870;Kehrsatz;3122;Kehrsatz;Kehrsatz;2014
NW;1510;Stansstad;6365;Kehrsiten;Kehrsiten;2014
BE;411;Kernenried;3309;Kernenried;Kernenried;2014
OW;1404;Kerns;6064;Kerns;Kerns;2014
FR;2265;Kerzers;3210;Kerzers;Kerzers;2014
TG;4426;Kesswil;8593;Kesswil;Kesswil;2014
SO;2403;Kestenholz;4703;Kestenholz;Kestenholz;2014
SO;2492;Kienberg;4468;Kienberg;Kienberg;2014
BE;567;Reichenbach im Kandertal;3723;Kiental;Kiental;2014
BL;2851;Kilchberg (BL);4496;Kilchberg BL;Kilchberg;2014
ZH;135;Kilchberg (ZH);8802;Kilchberg ZH;Kilchberg;2014
AG;4030;Killwangen;8956;Killwangen;Killwangen;2014
AG;4038;Obersiggenthal;5416;Kirchdorf AG;Kirchdorf;2014
BE;872;Kirchdorf (BE);3116;Kirchdorf BE;Kirchdorf;2014
BE;873;Kirchenthurnen;3128;Kirchenthurnen;Kirchenthurnen;2014
AG;4275;Kirchleerau;5054;Kirchleerau;Kirchleerau;2014
BE;354;Kirchlindach;3038;Kirchlindach;Kirchlindach;2014
ZH;33;Kleinandelfingen;8451;Kleinandelfingen;Kleinandelfingen;2014
FR;2266;Kleinbösingen;3213;Kleinbösingen;Kleinbösingen;2014
BE;332;Madiswil;4936;Kleindietwil;Kleindietwil;2014
AG;4303;Böttstein;5314;Kleindöttingen;Kleindöttingen;2014
SO;2619;Kleinlützel;4245;Kleinlützel;Kleinlützel;2014
LU;1032;Hohenrain;6277;Kleinwangen;Ferren;2014
AG;4309;Klingnau;5313;Klingnau;Klingnau;2014
AG;4048;Würenlos;8109;Kloster Fahr;Fahr;2014
GR;3871;Klosters-Serneus;7250;Klosters;Klosters Platz;2014
GR;3871;Klosters-Serneus;7252;Klosters Dorf;Klosters Dorf;2014
ZH;62;Kloten;8302;Kloten;Kloten;2014
SG;3298;Walenstadt;8881;Knoblisbühl;Knoblisbühl;2014
ZH;7;Knonau;8934;Knonau;Knonau;2014
LU;1089;Knutwil;6213;Knutwil;Knutwil;2014
AG;4310;Koblenz;5322;Koblenz;Koblenz;2014
ZH;231;Zell (ZH);8483;Kollbrunn;Kollbrunn;2014
AG;4276;Kölliken;5742;Kölliken;Kölliken;2014
BE;355;Köniz;3098;Köniz;Köniz;2014
BE;413;Koppigen;3425;Koppigen;Oeschberg;2014
LU;1128;Ettiswil;6217;Kottwil;Kottwil;2014
TG;4501;Kradolf-Schönenberg;9214;Kradolf;Kradolf;2014
BE;566;Krattigen;3704;Krattigen;Krattigen;2014
BE;414;Krauchthal;3326;Krauchthal;Krauchthal;2014
TG;4671;Kreuzlingen;8280;Kreuzlingen;Kreuzlingen;2014
BE;666;Kriechenwil;3179;Kriechenwil;Kriechenwil;2014
LU;1059;Kriens;6010;Kriens;Kriens;2014
SG;3254;Oberriet (SG);9451;Kriessern;Kriessern;2014
SG;3379;Wattwil;9622;Krinau;Krinau;2014
SG;3360;Nesslau;9643;Krummenau;Krummenau;2014
GR;3882;Küblis;7240;Küblis;Küblis;2014
LU;1104;Triengen;6234;Kulmerau;Kulmerau;2014
AG;4031;Künten;5444;Künten;Künten;2014
ZH;154;Küsnacht (ZH);8700;Küsnacht ZH;Küsnacht;2014
SZ;1331;Küssnacht (SZ);6403;Küssnacht am Rigi;Küssnacht am Rigi;2014
AG;4008;Küttigen;5024;Küttigen;Küttigen;2014
SO;2465;Buchegg;4581;Küttigkofen;Küttigkofen;2014
ZH;175;Kyburg;8314;Kyburg;Kyburg;2014
SO;2465;Buchegg;4586;Kyburg-Buchegg;Buchegg;2014
NE;6432;La Brévine;2406;La Brévine;La Brévine;2014
VD;5474;La Chaux (Cossonay);1308;La Chaux-Cossonay;La Chaux (Cossonay);2014
NE;6421;La Chaux-de-Fonds;2300;La Chaux-de-Fonds;Les Joux-Derrière;2014
NE;6435;La Chaux-du-Milieu;2405;La Chaux-du-Milieu;La Chaux-du-Milieu;2014
BE;441;Renan (BE);2616;La Cibourg;La Cibourg;2014
BE;435;La Ferrière;2333;La Cibourg;La Cibourg;2014
VD;5410;Ormont-Dessous;1862;La Comballaz;La Comballaz;2014
VD;5606;Lutry;1093;La Conversion;La Conversion;2014
NE;6504;La Côte-aux-Fées;2117;La Côte-aux-Fées;La Côte-aux-Fées;2014
VD;5606;Lutry;1090;La Croix (Lutry);La Croix;2014
GE;6605;Bardonnex;1257;La Croix-de-Rozon;La Croix-de-Rozon;2014
VD;5727;Saint-Cergue;1265;La Cure;La Cure;2014
VD;5410;Ormont-Dessous;1866;La Forclaz VD;La Forclaz;2014
VS;6083;Evolène;1985;La Forclaz VS;La Forclaz;2014
VS;6034;Orsières;1944;La Fouly VS;La Fouly;2014
BE;436;La Heutte;2604;La Heutte;La Heutte;2014
FR;2113;Vuisternens-dev-Romont;1697;La Joux FR;La Joux;2014
BE;723;La Neuveville;2520;La Neuveville;La Neuveville;2014
GR;3785;La Punt-Chamues-ch;7522;La Punt-Chamues-ch;La Punt;2014
VD;5726;La Rippe;1278;La Rippe;La Rippe;2014
FR;2149;La Roche;1634;La Roche FR;La Roche;2014
GR;3561;Poschiavo;7742;La Rösa;La Rösa;2014
VD;5750;Les Clées;1356;La Russille;La Russille;2014
NE;6423;La Sagne;2314;La Sagne NE;La Sagne;2014
VD;5568;Sainte-Croix;1450;La Sagne VD;La Sagne;2014
VD;5498;La Sarraz;1315;La Sarraz;La Sarraz;2014
BE;713;Tavannes;2720;La Tanne;La Tanne;2014
VD;5842;Rossinière;1658;La Tine;La Tine;2014
VS;6083;Evolène;1984;La Tour VS;La Tour;2014
VD;5889;La Tour-de-Peilz;1814;La Tour-de-Peilz;La Tour-de-Peilz;2014
FR;2125;Bulle;1635;La Tour-de-Trême;La Tour-de-Trême;2014
VS;6139;Riddes;1918;La Tzoumaz;Mayens-de-Riddes;2014
VD;5568;Sainte-Croix;1454;La Vraconnaz;La Vraconnaz;2014
GR;3575;Laax;7031;Laax GR;Laax;2014
GR;3575;Laax;7032;Laax GR 2;Murschetg;2014
VD;5871;L'Abbaye;1344;L'Abbaye;L'Abbaye;2014
VD;5741;L'Abergement;1355;L'Abergement;L'Abergement;2014
SZ;1344;Lachen;8853;Lachen SZ;Lachen;2014
GE;6627;Laconnex;1287;Laconnex;Laconnex;2014
GR;3619;Ilanz/Glion;7155;Ladir;Ladir;2014
VS;6286;Lalden;3931;Lalden;Lalden;2014
BE;726;Plateau de Diesse;2516;Lamboing;Lamboing;2014
BL;2887;Lampenberg;4432;Lampenberg;Lampenberg;2014
BE;613;Landiswil;3434;Landiswil;Landiswil;2014
GR;3955;Landquart;7302;Landquart;Landquart;2014
TG;4691;Münsterlingen;8597;Landschlacht;Landschlacht;2014
BL;2888;Langenbruck;4438;Langenbruck;Langenbruck;2014
SO;2550;Langendorf;4513;Langendorf;Langendorf;2014
BE;329;Langenthal;4900;Langenthal;Langenthal;2014
ZH;136;Langnau am Albis;8135;Langnau am Albis;Langnau am Albis;2014
LU;1140;Reiden;6262;Langnau b. Reiden;Langnau bei Reiden;2014
BE;902;Langnau im Emmental;3550;Langnau i. E.;Langnau im Emmental;2014
GR;3921;Arosa;7057;Langwies;Langwies;2014
TG;4546;Schlatt (TG);8246;Langwiesen;Paradies;2014
TG;4921;Bussnang;9503;Lanterswil;Lanterswil;2014
GR;3513;Lantsch/Lenz;7083;Lantsch/Lenz;Lantsch/Lenz;2014
BE;855;Schwarzenburg;3148;Lanzenhäusern;Lanzenhäusern;2014
TG;4811;Herdern;8506;Lanzenneunforn;Lanzenneunforn;2014
TI;5048;Acquarossa;6724;Largario;Largario;2014
GR;3521;Bergün/Bravuogn;7484;Latsch;Latsch;2014
BE;763;Erlenbach im Simmental;3758;Latterbach;Latterbach;2014
BE;842;Lauenen;3782;Lauenen b. Gstaad;Lauenen bei Gstaad;2014
SZ;1365;Lauerz;6424;Lauerz;Lauerz;2014
BL;2852;Läufelfingen;4448;Läufelfingen;Läufelfingen;2014
BL;2787;Laufen;4242;Laufen;Laufen;2014
AG;4170;Laufenburg;5080;Laufenburg;Laufenburg;2014
BE;667;Laupen;3177;Laupen BE;Laupen;2014
ZH;120;Wald (ZH);8637;Laupen ZH;Laupen;2014
SO;2426;Laupersdorf;4712;Laupersdorf;Laupersdorf;2014
BE;903;Lauperswil;3438;Lauperswil;Lauperswil;2014
GR;3834;Roveredo (GR);6549;Laura;Monte Laura;2014
VD;5586;Lausanne;1000;Lausanne;Vennes;2014
BL;2828;Lausen;4415;Lausen;Lausen;2014
BL;2889;Lauwil;4426;Lauwil;Lauwil;2014
TI;5112;Lavertezzo;6633;Lavertezzo;Lavertezzo;2014
VD;5406;Lavey-Morcles;1892;Lavey-les-Bains;Lavey-les-Bains;2014
VD;5637;Lavigny;1175;Lavigny;Lavigny;2014
GR;3743;Lavin;7543;Lavin;Lavin;2014
VS;6061;Lax;3994;Lax;Lax;2014
JU;6741;Le Bémont (JU);2360;Le Bémont JU;Le Bémont;2014
VD;5872;Le Chenit;1348;Le Brassus;Le Marchairuz;2014
FR;2122;Pont-en-Ogoz;1645;Le Bry;Le Bry;2014
NE;6421;La Chaux-de-Fonds;2322;Le Crêt-du-Locle;Le Crêt-du-Locle;2014
FR;2338;La Verrerie;1611;Le Crêt-p-Semsales;Le Crêt-près-Semsales;2014
BE;706;Saicourt;2712;Le Fuet;Le Fuet;2014
GE;6623;Le Grand-Saconnex;1218;Le Grand-Saconnex;Le Grand-Saconnex;2014
NE;6455;Le Landeron;2525;Le Landeron;Le Landeron;2014
VD;5873;Le Lieu;1345;Le Lieu;Le Lieu;2014
NE;6436;Le Locle;2400;Le Locle;Le Locle;2014
VD;5882;Chardonne;1801;Le Mont-Pèlerin;Le Mont-Pèlerin;2014
JU;6754;Le Noirmont;2340;Le Noirmont;Le Noirmont;2014
NE;6487;Val-de-Ruz;2058;Le Pâquier NE;Le Pâquier;2014
VD;5871;L'Abbaye;1342;Le Pont;Le Pont;2014
JU;6748;Les Genevez (JU);2714;Le Prédame;Le Prédame;2014
GR;3561;Poschiavo;7746;Le Prese;Le Prese;2014
VD;5872;Le Chenit;1347;Le Sentier;Le Sentier;2014
VD;5410;Ormont-Dessous;1863;Le Sépey;Les Planches;2014
VS;6218;Salvan;1923;Le Trétien;Le Trétien;2014
VD;5731;Le Vaud;1261;Le Vaud;Le Vaud;2014
GR;3833;Leggia;6556;Leggia;Leggia;2014
AG;4311;Leibstadt;5325;Leibstadt;Leibstadt;2014
AG;4137;Leimbach (AG);5733;Leimbach AG;Leimbach;2014
TG;4911;Bürglen (TG);8584;Leimbach TG;Leimbach;2014
BE;332;Madiswil;4935;Leimiswil;Leimiswil;2014
BE;585;Leissigen;3706;Leissigen;Leissigen;2014
SG;3423;Niederhelfenschwil;9525;Lenggenwil;Lenggenwil;2014
AG;4312;Lengnau (AG);5426;Lengnau AG;Lengnau;2014
BE;387;Lengnau (BE);2543;Lengnau BE;Lengnau;2014
BE;792;Lenk;3775;Lenk im Simmental;Lenk im Simmental;2014
VS;6240;Lens;1978;Lens;Lens;2014
FR;2234;La Brillaz;1745;Lentigny;Lentigny;2014
GR;3506;Vaz/Obervaz;7078;Lenzerheide/Lai;Lenzerheide/Lai;2014
GE;6643;Vernier;1220;Les Avanchets;Les Avanchets;2014
VD;5886;Montreux;1833;Les Avants;Les Avants;2014
NE;6512;Val-de-Travers;2127;Les Bayards;Grand-Bayard;2014
VD;5871;L'Abbaye;1346;Les Bioux;Les Bioux;2014
JU;6742;Les Bois;2336;Les Bois;Les Bois;2014
NE;6431;Les Brenets;2416;Les Brenets;Les Brenets;2014
VD;5873;Le Lieu;1343;Les Charbonnières;Les Charbonnières;2014
VS;6089;Vex;1988;Les Collons;Les Collons;2014
VD;5799;Servion;1080;Les Cullayes;Les Cullayes;2014
VD;5411;Ormont-Dessus;1865;Les Diablerets;Les Diablerets;2014
BE;712;Souboz;2748;Les Ecorcheresses;Les Ecorcheresses;2014
JU;6753;Muriaux;2338;Les Emibois;Les Emibois;2014
JU;6745;Les Enfers;2363;Les Enfers;Les Enfers;2014
FR;2041;Saint-Aubin (FR);1566;Les Friques;Les Friques;2014
NE;6487;Val-de-Ruz;2208;Les Hauts-Geneveys;Les Hauts-Geneveys;2014
VD;5590;Pully;1068;Les Monts-de-Pully;Les Monts-de-Pully;2014
FR;2325;Châtel-Saint-Denis;1619;Les Paccots;Les Paccots;2014
NE;6422;Les Planchettes;2325;Les Planchettes;Les Planchettes;2014
JU;6757;Saignelégier;2353;Les Pommerats;Les Pommerats;2014
BE;443;Saint-Imier;2610;Les Pontins;Les Pontins;2014
BE;438;Orvin;2534;Les Prés-d'Orvin;Les Prés-d'Orvin;2014
VD;5552;Bullet;1452;Les Rasses;Les Rasses;2014
BE;446;Tramelan;2722;Les Reussilles;Les Reussilles;2014
NE;6512;Val-de-Travers;2124;Les Sagnettes;Les Sagnettes;2014
VD;5805;Oron;1607;Les Tavernes;Les Tavernes;2014
NE;6511;Les Verrières;2126;Les Verrières;Les Verrières;2014
GL;1631;Glarus Süd;8774;Leuggelbach;Leuggelbach;2014
VS;6111;Leukerbad;3954;Leukerbad;Leukerbad;2014
AG;4138;Leutwil;5725;Leutwil;Leutwil;2014
BE;388;Leuzigen;3297;Leuzigen;Leuzigen;2014
VS;6036;Vollèges;1942;Levron;Levron;2014
VD;5407;Leysin;1854;Leysin;Leysin;2014
GR;3561;Poschiavo;7745;Li Curt;Li Curt;2014
SG;3394;Mosnang;9614;Libingen;Libingen;2014
SG;3374;Lichtensteig;9620;Lichtensteig;Lichtensteig;2014
BE;355;Köniz;3097;Liebefeld;Liebefeld;2014
BL;2890;Liedertswil;4436;Liedertswil;Liedertswil;2014
FR;2113;Vuisternens-dev-Romont;1688;Lieffrens;Lieffrens;2014
SG;3251;Altstätten;9464;Lienz;Lienz;2014
BL;2788;Liesberg;4253;Liesberg;Liesberg;2014
BL;2788;Liesberg;4254;Liesberg Dorf;Liesberg Dorf;2014
BL;2829;Liestal;4410;Liestal;Liestal;2014
BE;740;Ligerz;2514;Ligerz;Schernelz;2014
VD;5755;Lignerolle;1357;Lignerolle;Lignerolle;2014
NE;6456;Lignières;2523;Lignières;Lignières;2014
TI;5254;Mendrisio;6853;Ligornetto;Ligornetto;2014
BE;538;Fraubrunnen;3317;Limpach;Limpach;2014
ZH;176;Lindau;8315;Lindau;Lindau;2014
BE;614;Linden;3673;Linden;Jassbach;2014
TI;5315;Linescio;6682;Linescio;Linescio;2014
GL;1631;Glarus Süd;8783;Linthal;Linthal;2014
TG;4761;Sirnach;9573;Littenheid;Littenheid;2014
GR;3921;Arosa;7058;Litzirüti;Litzirüti;2014
BE;312;Seedorf (BE);3268;Lobsigen;Lobsigen;2014
TI;5113;Locarno;6600;Locarno;Locarno;2014
TI;5285;Lodrino;6527;Lodrino;Lodrino;2014
SH;2917;Lohn (SH);8235;Lohn SH;Lohn;2014
SO;2526;Lohn-Ammannsegg;4573;Lohn-Ammannsegg;Lohn;2014
SH;2903;Löhningen;8224;Löhningen;Löhningen;2014
BE;874;Lohnstorf;3127;Lohnstorf;Lohnstorf;2014
SG;3201;Häggenschwil;9308;Lömmenschwil;Lömmenschwil;2014
TG;4741;Lommis;9506;Lommis;Lommis;2014
SO;2551;Lommiswil;4514;Lommiswil;Lommiswil;2014
VD;5638;Lonay;1027;Lonay;Lonay;2014
TI;5226;Capriasca;6956;Lopagno;Lopagno;2014
TI;5115;Losone;6616;Losone;Losone;2014
GR;3821;Lostallo;6558;Lostallo;Lostallo;2014
SO;2493;Lostorf;4654;Lostorf;Lostorf;2014
FR;2234;La Brillaz;1756;Lovens;Lovens;2014
BE;696;Loveresse;2732;Loveresse;Loveresse;2014
GR;3847;Val Müstair;7534;Lü;Lü;2014
JU;6810;La Baroche;2807;Lucelle;Lucelle;2014
VD;5675;Lucens;1522;Lucens;Lucens;2014
TI;5050;Serravalle;6721;Ludiano;Ludiano;2014
ZH;63;Lufingen;8426;Lufingen;Lufingen;2014
TI;5226;Capriasca;6953;Lugaggia;Lugaggia;2014
TI;5210;Paradiso;6900;Lugano;Calprino;2014
FR;2281;Haut-Vully;1789;Lugnorre;Lugnorre;2014
VD;5858;Luins;1184;Luins;Luins;2014
VD;5639;Lully (VD);1132;Lully VD;Lully;2014
GR;3618;Lumnezia;7148;Lumbrein;Lumbrein;2014
GR;3835;San Vittore;6533;Lumino;Monticello;2014
BL;2830;Lupsingen;4419;Lupsingen;Lupsingen;2014
BE;497;Lüscherz;2576;Lüscherz;Lüscherz;2014
VD;5487;Lussery-Villars;1307;Lussery-Villars;Lussery;2014
SO;2464;Lüsslingen-Nennigkofen;4574;Lüsslingen;Lüsslingen;2014
FR;2116;La Folliaz;1690;Lussy FR;Lussy;2014
VD;5640;Lussy-sur-Morges;1167;Lussy-sur-Morges;Lussy-sur-Morges;2014
TG;4611;Thundorf;8512;Lustdorf;Lustdorf;2014
AR;3024;Teufen (AR);9062;Lustmühle;Lustmühle;2014
SO;2527;Luterbach;4542;Luterbach;Luterbach;2014
LU;1135;Luthern;6156;Luthern;Luthern;2014
SG;3393;Lütisburg;9604;Lütisburg;Lütisburg;2014
SG;3393;Lütisburg;9601;Lütisburg Station;Lütisburg Station;2014
VD;5606;Lutry;1095;Lutry;Lutry;2014
BE;955;Lützelflüh;3432;Lützelflüh-Goldb;Lützelflüh;2014
AR;3033;Lutzenberg;9426;Lutzenberg;Haufen;2014
GR;3619;Ilanz/Glion;7141;Luven;Luven;2014
GR;3891;Luzein;7242;Luzein;Luzein;2014
LU;1061;Luzern;6000;Luzern;Luzern;2014
LU;1061;Luzern;6014;Luzern;Littau;2014
LU;1061;Luzern;6015;Luzern;Reussbühl;2014
BE;306;Lyss;3250;Lyss;Hardern;2014
BE;415;Lyssach;3421;Lyssach;Lyssach;2014
BE;332;Madiswil;4934;Madiswil;Madiswil;2014
TI;5178;Croglio;6995;Madonna del Piano;Madonna del Piano;2014
SG;3293;Mels;8886;Mädris-Vermol;Mädris;2014
GR;3783;Madulain;7523;Madulain;Madulain;2014
TI;5398;Gambarogno;6573;Magadino;Magadino;2014
AG;4253;Magden;4312;Magden;Magden;2014
AG;4032;Mägenwil;5506;Mägenwil;Mägenwil;2014
TI;5317;Maggia;6673;Maggia;Maggia;2014
BE;372;Evilard;2532;Magglingen/Macolin;Magglingen/Macolin;2014
TI;5193;Magliaso;6983;Magliaso;Magliaso;2014
GR;3953;Maienfeld;7304;Maienfeld;Maienfeld;2014
TI;5072;Faido;6763;Mairengo;Mairengo;2014
BL;2853;Maisprach;4464;Maisprach;Maisprach;2014
GR;3926;Maladers;7026;Maladers;Maladers;2014
GR;3954;Malans;7208;Malans GR;Malans;2014
GR;3911;Churwalden;7074;Malix;Malix;2014
GR;3792;Bregaglia;7516;Maloja;Maloja;2014
LU;1062;Malters;6102;Malters;Malters;2014
TI;5050;Serravalle;6713;Malvaglia;Chiesa;2014
BE;855;Schwarzenburg;3152;Mamishaus;Mamishaus;2014
TG;4826;Mammern;8265;Mammern;Mammern;2014
AG;4105;Mandach;5318;Mandach;Mandach;2014
ZH;155;Männedorf;8708;Männedorf;Männedorf;2014
TG;4851;Salenstein;8268;Mannenbach-Salenst;Mannenbach;2014
TI;5194;Manno;6928;Manno;Manno;2014
VD;5790;Maracon;1613;Maracon;Maracon;2014
LU;1010;Escholzmatt-Marbach;6196;Marbach LU;Marbach;2014
SG;3253;Marbach (SG);9437;Marbach SG;Marbach;2014
SO;2477;Metzerlen-Mariastein;4115;Mariastein;Mariastein;2014
NE;6461;La Tène;2074;Marin-Epagnier;Marin;2014
FR;2206;Marly;1723;Marly;Marly;2014
GR;3533;Marmorera;7456;Marmorera;Marmorera;2014
VD;5831;Valbroye;1524;Marnand;Marnand;2014
TI;5195;Maroggia;6817;Maroggia;Maroggia;2014
FR;2140;Marsens;1633;Marsens;Marsens;2014
TG;4941;Märstetten;8560;Märstetten;Märstetten;2014
ZH;35;Marthalen;8460;Marthalen;Marthalen;2014
VS;6136;Martigny;1920;Martigny;Martigny;2014
VS;6137;Martigny-Combe;1921;Martigny-Croix;Le Brocard;2014
GR;3764;Valsot;7560;Martina;Martina;2014
ZH;8;Maschwanden;8933;Maschwanden;Maschwanden;2014
VS;6090;Mont-Noble;1968;Mase;Mase;2014
GR;3663;Masein;7425;Masein;Masein;2014
SG;3315;Schänis;8723;Maseltrangen;Maseltrangen;2014
VS;6215;Massongex;1869;Massongex;Massongex;2014
FR;2086;Massonnens;1692;Massonnens;Massonnens;2014
GR;3955;Landquart;7303;Mastrils;Mastrils;2014
VD;5919;Mathod;1438;Mathod;Mathod;2014
FR;2208;Matran;1753;Matran;Matran;2014
GL;1631;Glarus Süd;8766;Matt;Matt;2014
BE;793;St. Stephan;3773;Matten(St.Stephan);Matten;2014
BE;543;Mattstetten;3322;Mattstetten;Mattstetten;2014
SO;2427;Matzendorf;4713;Matzendorf;Matzendorf;2014
TG;4566;Frauenfeld;9548;Matzingen;Murkart;2014
LU;1091;Mauensee;6216;Mauensee;Mauensee;2014
FR;2152;Sâles;1625;Maules;Maules;2014
ZH;195;Maur;8124;Maur;Maur;2014
TG;4891;Berg (TG);8576;Mauren TG;Mauren;2014
